,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:33.738
1,3,2,Button,3,2.0,2.000,0,1:34.478
2,3,3,Webber,3,2.7,0.700,0,1:34.487
3,3,4,Alonso,3,3.6,0.800,0,1:34.618
4,3,5,Massa,3,3.3,0.600,0,
5,3,6,Hamilton,3,4.4,1.000,0,
6,3,7,Rosberg,3,4.8,0.400,0,
7,3,8,Schumacher,3,5.5,0.700,0,
8,3,9,Sutil,3,6.5,1.000,0,
9,3,10,Senna,3,7.4,0.900,0,
10,3,11,Alguersuari,3,7.8,0.300,0,
11,3,12,Buemi,3,8.5,0.600,0,
12,3,13,Di Resta,3,9.0,0.500,0,
13,3,14,Maldonado,3,9.6,0.500,0,
14,3,15,Petrov,3,10.4,0.800,0,
15,3,16,Kovalainen,3,11.2,0.800,0,
16,3,17,Karthikeyan,3,12.7,1.400,0,
17,3,18,Ricciardo,3,12.9,0.200,0,
18,3,19,D'Ambrosio,3,13.4,0.500,0,
19,3,20,Perez,OUT,14.7,1.200,1,
20,3,21,Glock,OUT,21.6,6.900,1,
21,3,22,Barrichello,OUT,35.0,13.400,1,
22,3,23,Trulli,PIT,1L,61.600,1,
23,3,24,Kobayashi,×,2L, ,0,
0,4,1,Vettel,4, , ,0,1:32.770
1,4,2,Button,4,2.7,2.700,0,1:33.436
2,4,3,Webber,4,3.2,0.500,0,1:33.259
3,4,4,Alonso,4,4.5,1.200,0,1:33.654
4,4,5,Massa,4,4.6,0.900,0,1:34.991
5,4,6,Hamilton,4,5.7,1.100,0,1:35.036
6,4,7,Rosberg,4,6.8,1.100,0,1:35.735
7,4,8,Schumacher,4,7.7,0.800,0,1:35.876
8,4,9,Sutil,4,9.3,1.600,0,1:36.529
9,4,10,Senna,4,10.9,1.500,0,1:37.143
10,4,11,Alguersuari,4,11.5,0.600,0,1:37.394
11,4,12,Buemi,4,12.2,0.700,0,1:37.431
12,4,13,Maldonado,4,13.4,1.100,0,1:37.527
13,4,14,Petrov,4,14.1,0.600,0,1:37.359
14,4,15,Kovalainen,4,14.8,0.700,0,1:37.308
15,4,16,Di Resta,OUT,15.5,0.600,1,
16,4,17,Ricciardo,4,18.1,2.600,0,1:38.942
17,4,18,Karthikeyan,4,19.1,0.900,0,1:40.101
18,4,19,D'Ambrosio,4,19.7,0.600,0,1:39.964
19,4,20,Perez,4,36.4,16.700,1,1:55.409
20,4,21,Glock,PIT,56.9,20.500,2,
21,4,22,Barrichello,4,70.6,13.600,1,2:09.277
22,4,23,Trulli,OUT,1L,61.600,1,
23,4,24,Kobayashi,×,3L, ,0,
0,5,1,Vettel,5, , ,0,1:32.377
1,5,2,Button,5,3.3,3.300,0,1:32.981
2,5,3,Webber,5,4.0,0.700,0,1:33.206
3,5,4,Alonso,5,4.5,1.200,0,1:33.654
4,5,5,Massa,5,5.7,1.100,0,1:33.843
5,5,6,Hamilton,5,7.0,1.300,0,1:34.083
6,5,7,Rosberg,5,8.2,1.200,0,1:34.196
7,5,8,Schumacher,5,9.7,1.400,0,1:34.830
8,5,9,Sutil,5,11.8,2.000,0,1:35.196
9,5,10,Senna,5,13.4,1.600,0,1:35.276
10,5,11,Alguersuari,5,14.1,0.700,0,1:35.379
11,5,12,Buemi,5,15.0,0.900,0,1:35.559
12,5,13,Maldonado,5,15.8,0.800,0,1:35.191
13,5,14,Kovalainen,5,18.1,2.200,0,1:36.011
14,5,15,Petrov,OUT,19.3,1.200,1,
15,5,16,Ricciardo,5,22.2,2.800,0,1:36.790
16,5,17,Karthikeyan,5,23.7,1.500,0,1:37.462
17,5,18,D'Ambrosio,5,24.8,1.000,0,1:37.930
18,5,19,Di Resta,5,36.3,11.400,1,1:53.601
19,5,20,Perez,5,38.0,1.700,1,1:34.390
20,5,21,Barrichello,5,74.5,36.500,1,1:36.725
21,5,22,Glock,×,2L, ,2,
22,5,23,Trulli,4,1L,69.000,1,2:16.721
23,5,24,Kobayashi,×,4L, ,0,
0,6,1,Vettel,6, , ,0,1:32.703
1,6,2,Button,6,4.2,4.200,0,1:33.631
2,6,3,Webber,6,4.8,0.600,0,1:33.452
3,6,4,Alonso,6,6.2,1.300,0,1:33.121
4,6,5,Massa,6,6.8,1.000,0,1:33.471
5,6,6,Hamilton,6,7.9,1.100,0,1:33.294
6,6,7,Rosberg,6,9.7,1.700,0,1:33.827
7,6,8,Schumacher,6,11.5,1.800,0,1:34.150
8,6,9,Sutil,6,14.0,2.400,0,1:34.599
9,6,10,Senna,6,16.1,2.100,0,1:35.109
10,6,11,Alguersuari,6,16.6,0.500,0,1:34.932
11,6,12,Buemi,6,17.3,0.600,0,1:34.699
12,6,13,Maldonado,6,18.1,0.700,0,1:34.660
13,6,14,Kovalainen,6,21.2,3.000,0,1:35.490
14,6,15,Ricciardo,6,25.6,4.400,0,1:35.859
15,6,16,Karthikeyan,6,27.9,2.200,0,1:36.529
16,6,17,D'Ambrosio,6,29.0,1.100,0,1:36.589
17,6,18,Di Resta,6,38.5,9.400,1,1:34.550
18,6,19,Perez,6,39.4,0.900,1,1:33.761
19,6,20,Petrov,6,43.6,4.200,1,1:56.624
20,6,21,Barrichello,6,77.2,33.600,1,1:35.040
21,6,22,Trulli,5,1L,71.100,1,1:38.794
22,6,23,Glock,×,3L, ,2,
23,6,24,Kobayashi,×,5L, ,0,
0,7,1,Vettel,7, , ,0,1:31.834
1,7,2,Button,7,4.5,4.500,0,1:32.133
2,7,3,Webber,7,5.2,0.700,0,1:32.276
3,7,4,Alonso,7,7.0,1.700,0,1:32.621
4,7,5,Massa,7,8.2,1.200,0,1:32.626
5,7,6,Hamilton,7,10.0,1.800,0,1:32.746
6,7,7,Rosberg,7,10.5,1.400,0,1:33.535
7,7,8,Schumacher,7,12.6,2.000,0,1:33.824
8,7,9,Sutil,7,15.2,2.500,0,1:33.906
9,7,10,Senna,7,17.7,2.500,0,1:34.316
10,7,11,Alguersuari,7,18.2,0.400,0,1:34.249
11,7,12,Buemi,7,18.9,0.700,0,1:34.285
12,7,13,Maldonado,7,19.7,0.800,0,1:34.347
13,7,14,Kovalainen,7,23.6,3.800,0,1:35.142
14,7,15,Ricciardo,7,28.5,4.800,0,1:35.523
15,7,16,Karthikeyan,7,31.4,2.900,0,1:36.199
16,7,17,D'Ambrosio,7,32.9,1.400,0,1:36.548
17,7,18,Di Resta,7,39.8,6.800,1,1:33.994
18,7,19,Perez,7,40.4,0.600,1,1:33.738
19,7,20,Petrov,7,43.7,3.300,1,1:32.823
20,7,21,Barrichello,7,79.0,35.300,1,1:34.534
21,7,22,Trulli,6,1L,73.400,1,1:37.392
22,7,23,Glock,×,4L, ,2,
23,7,24,Kobayashi,×,6L, ,0,
0,8,1,Vettel,8, , ,0,1:31.639
1,8,2,Button,8,4.5,4.500,0,1:32.133
