,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Button,6, , ,0,1:57.091
1,3,2,Hulkenberg,6,2.8,2.800,0,1:58.669
2,3,3,Raikkonen,6,3.9,1.100,0,2:00.289
3,3,4,Di Resta,6,4.8,0.900,0,2:00.214
4,3,5,Schumacher,6,5.3,0.500,0,2:00.350
5,3,6,Ricciardo,6,6.0,0.700,0,2:00.571
6,3,7,Vergne,6,6.6,0.500,0,2:00.694
7,3,8,Senna,6,7.2,0.600,0,2:00.509
8,3,9,Webber,6,7.7,0.400,0,2:00.687
9,3,10,Massa,6,8.2,0.400,0,2:00.027
10,3,11,Vettel,6,8.4,0.200,0,2:00.029
11,3,12,Kovalainen,6,4.8,0.700,0,3:00.663
12,3,13,Rosberg,6,6.1,0.500,0,2:58.665
13,3,14,Karthikeyan,6,6.9,0.800,0,2:58.033
14,3,15,Petrov,6,7.4,0.400,0,2:57.070
15,3,16,Glock,6,7.8,0.400,0,2:56.667
16,3,17,Maldonado,6,8.2,0.400,1,2:56.181
17,3,18,Pic,6,8.8,0.500,0,2:55.805
18,3,19,de la Rosa,6,9.3,0.400,1,2:55.676
19,3,20,Kobayashi,6,9.7,0.400,1,2:55.418
20,3,21,Perez,×,5L, ,0,
21,3,22,Alonso,×,5L, ,0,
22,3,23,Hamilton,×,5L, ,0,
23,3,24,Grosjean,×,5L, ,0,
0,4,1,Button,6, , ,0,1:57.091
1,4,2,Hulkenberg,6,2.8,2.800,0,1:58.669
2,4,3,Raikkonen,6,3.9,1.100,0,2:00.289
3,4,4,Di Resta,6,4.8,0.900,0,2:00.214
4,4,5,Schumacher,6,5.3,0.500,0,2:00.350
5,4,6,Ricciardo,6,6.0,0.700,0,2:00.571
6,4,7,Vergne,6,6.6,0.500,0,2:00.694
7,4,8,Senna,6,7.2,0.600,0,2:00.509
8,4,9,Webber,6,7.7,0.400,0,2:00.687
9,4,10,Massa,6,8.2,0.400,0,2:00.027
10,4,11,Vettel,6,8.4,0.200,0,2:00.029
11,4,12,Rosberg,6,10.0,1.500,0,2:00.976
12,4,13,Kovalainen,6,11.0,1.000,0,2:03.246
13,4,14,Petrov,6,11.9,0.900,0,2:01.675
14,4,15,Karthikeyan,6,6.9,0.800,0,2:58.033
15,4,16,Glock,6,7.8,0.400,0,2:56.667
16,4,17,Maldonado,6,8.2,0.400,1,2:56.181
17,4,18,Pic,6,8.8,0.500,0,2:55.805
18,4,19,de la Rosa,6,9.3,0.400,1,2:55.676
19,4,20,Kobayashi,6,9.7,0.400,1,2:55.418
20,4,21,Perez,×,5L, ,0,
21,4,22,Alonso,×,5L, ,0,
22,4,23,Hamilton,×,5L, ,0,
23,4,24,Grosjean,×,5L, ,0,
0,5,1,Button,6, , ,0,1:57.091
1,5,2,Hulkenberg,6,2.8,2.800,0,1:58.669
2,5,3,Raikkonen,6,3.9,1.100,0,2:00.289
3,5,4,Di Resta,6,4.8,0.900,0,2:00.214
4,5,5,Schumacher,6,5.3,0.500,0,2:00.350
5,5,6,Ricciardo,6,6.0,0.700,0,2:00.571
6,5,7,Vergne,6,6.6,0.500,0,2:00.694
7,5,8,Senna,6,7.2,0.600,0,2:00.509
8,5,9,Webber,6,7.7,0.400,0,2:00.687
9,5,10,Massa,6,8.2,0.400,0,2:00.027
10,5,11,Vettel,6,8.4,0.200,0,2:00.029
11,5,12,Rosberg,6,10.0,1.500,0,2:00.976
12,5,13,Kovalainen,6,11.0,1.000,0,2:03.246
13,5,14,Petrov,6,11.9,0.900,0,2:01.675
14,5,15,Karthikeyan,6,13.3,1.400,0,2:03.532
15,5,16,Kobayashi,6,13.6,0.200,1,2:00.989
16,5,17,de la Rosa,6,16.6,2.900,1,2:04.424
17,5,18,Pic,6,17.7,1.100,0,2:06.019
18,5,19,Glock,6,18.9,1.200,0,2:08.260
19,5,20,Maldonado,×,1L, ,1,
20,5,21,Perez,×,5L, ,0,
21,5,22,Alonso,×,5L, ,0,
22,5,23,Hamilton,×,5L, ,0,
23,5,24,Grosjean,×,5L, ,0,
0,6,1,Button,7, , ,0,1:57.479
1,6,2,Hulkenberg,7,3.6,3.600,0,1:58.358
2,6,3,Raikkonen,7,5.0,1.300,0,1:58.556
3,6,4,Schumacher,7,6.1,1.000,0,1:58.229
4,6,5,Di Resta,7,7.0,0.900,0,1:59.673
5,6,6,Ricciardo,7,7.7,0.700,0,1:59.194
6,6,7,Vergne,7,8.7,0.900,0,1:59.620
7,6,8,Senna,7,9.3,0.500,0,1:59.561
8,6,9,Webber,7,9.8,0.500,0,1:59.612
9,6,10,Massa,7,10.2,0.400,0,1:59.546
10,6,11,Vettel,7,10.6,0.300,0,1:59.670
11,6,12,Rosberg,7,12.3,1.600,0,1:59.784
12,6,13,Petrov,7,15.8,3.400,0,2:01.301
13,6,14,Kobayashi,7,16.9,1.100,1,2:00.728
14,6,15,Karthikeyan,7,19.1,2.200,0,2:03.263
15,6,16,Kovalainen,7,19.9,0.700,0,2:06.416
16,6,17,de la Rosa,7,21.4,1.400,1,2:02.280
17,6,18,Pic,7,22.2,0.800,0,2:02.008
18,6,19,Glock,7,22.7,0.400,0,2:01.247
19,6,20,Maldonado,×,2L, ,1,
20,6,21,Perez,×,6L, ,0,
21,6,22,Alonso,×,6L, ,0,
22,6,23,Hamilton,×,6L, ,0,
23,6,24,Grosjean,×,6L, ,0,
0,7,1,Button,8, , ,0,1:57.408
1,7,2,Hulkenberg,8,4.6,4.600,0,1:58.380
2,7,3,Raikkonen,8,5.9,1.200,0,1:58.286
3,7,4,Schumacher,8,6.9,1.000,0,1:58.241
4,7,5,Di Resta,8,8.3,1.300,0,1:58.683
5,7,6,Ricciardo,8,9.1,0.700,0,1:58.734
6,7,7,Vergne,8,9.8,0.700,0,1:58.458
7,7,8,Senna,8,10.5,0.700,0,1:58.637
8,7,9,Webber,8,10.9,0.400,0,1:58.526
9,7,10,Vettel,8,12.0,1.000,0,1:58.806
10,7,11,Massa,8,12.6,0.500,0,1:59.791
11,7,12,Rosberg,8,14.3,1.600,0,1:59.406
12,7,13,Petrov,8,19.1,4.800,0,2:00.780
13,7,14,Karthikeyan,8,23.4,4.200,0,2:01.684
14,7,15,Kobayashi,OUT,23.8,0.300,2,
15,7,16,Kovalainen,8,24.5,0.700,0,2:02.043
16,7,17,de la Rosa,8,25.8,1.200,1,2:01.846
17,7,18,Pic,8,26.9,1.100,0,2:02.122
18,7,19,Glock,8,27.4,0.400,0,2:02.060
19,7,20,Maldonado,×,3L, ,1,
20,7,21,Perez,×,7L, ,0,
21,7,22,Alonso,×,7L, ,0,
22,7,23,Hamilton,×,7L, ,0,
23,7,24,Grosjean,×,7L, ,0,
0,8,1,Button,9, , ,0,1:57.432
1,8,2,Hulkenberg,9,5.2,5.200,0,1:58.046
2,8,3,Raikkonen,9,6.4,1.100,0,1:57.980
3,8,4,Schumacher,9,7.5,1.000,0,1:58.016
4,8,5,Di Resta,9,9.6,2.100,0,1:58.772
5,8,6,Ricciardo,9,10.3,0.600,0,1:58.687
6,8,7,Vergne,9,11.2,0.800,0,1:58.839
7,8,8,Senna,9,12.3,1.100,0,1:59.200
8,8,9,Webber,9,12.7,0.300,0,1:59.146
9,8,10,Vettel,9,13.2,0.500,0,1:58.619
10,8,11,Massa,9,13.8,0.500,0,1:58.602
11,8,12,Rosberg,9,16.1,2.200,0,1:59.220
12,8,13,Petrov,9,22.1,6.000,0,2:00.410
13,8,14,Karthikeyan,9,26.8,4.600,0,2:00.792
14,8,15,Kovalainen,9,27.6,0.800,0,2:00.531
15,8,16,de la Rosa,9,29.9,2.200,1,2:01.463
16,8,17,Pic,9,30.7,0.800,0,2:01.222
17,8,18,Glock,9,31.1,0.400,0,2:01.207
18,8,19,Kobayashi,9,37.4,6.200,2,2:11.000
19,8,20,Maldonado,×,4L, ,1,
20,8,21,Perez,×,8L, ,0,
21,8,22,Alonso,×,8L, ,0,
22,8,23,Hamilton,×,8L, ,0,
23,8,24,Grosjean,×,8L, ,0,
0,9,1,Button,9, , ,0,1:57.432
1,9,2,Hulkenberg,9,5.2,5.200,0,1:58.046
2,9,3,Raikkonen,9,6.4,1.100,0,1:57.980
3,9,4,Schumacher,9,7.5,1.000,0,1:58.016
4,9,5,Di Resta,10,11.2,3.200,0,1:58.977
5,9,6,Ricciardo,10,11.7,0.500,0,1:58.780
6,9,7,Vergne,10,12.4,0.600,0,1:58.593
7,9,8,Senna,10,13.3,0.900,0,1:58.440
8,9,9,Vettel,10,14.1,0.700,0,1:58.281
9,9,10,Webber,10,14.7,0.500,0,1:59.423
