,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:46.386
1,3,2,Grosjean,3,2.6,2.600,0,1:46.944
2,3,3,Hamilton,3,3.3,0.600,0,1:46.908
3,3,4,Rosberg,3,3.4,0.600,0,1:47.525
4,3,5,Hulkenberg,3,4.2,0.800,0,
5,3,6,Alonso,3,4.7,0.500,0,
6,3,7,Ricciardo,3,6.0,1.300,0,
7,3,8,Raikkonnen,3,6.9,0.800,0,
8,3,9,Maldonado,3,7.7,0.700,0,
9,3,10,Button,3,8.2,0.500,0,
10,3,11,Perez,3,8.8,0.600,0,
11,3,12,Webber,3,9.3,0.400,0,
12,3,13,Di Resta,3,9.9,0.600,0,
13,3,14,Gutierrez,3,10.5,0.500,0,
14,3,15,Van Der Garde,3,11.7,1.100,0,
15,3,16,Vergne,3,12.0,0.300,0,
16,3,17,Bottas,3,12.5,0.500,0,
17,3,18,Sutil,3,13.1,0.500,0,
18,3,19,Pic,3,13.7,0.600,0,
19,3,20,Bianchi,3,14.4,0.600,0,
20,3,21,Massa,3,15.2,0.800,0,
21,3,22,Chilton,3,15.6,0.300,0,
0,4,1,Vettel,4, , ,0,1:46.922
1,4,2,Grosjean,4,2.6,2.600,0,1:46.890
2,4,3,Hamilton,4,3.3,0.700,0,1:46.924
3,4,4,Rosberg,4,4.5,1.200,0,1:47.525
4,4,5,Hulkenberg,4,5.9,1.300,0,1:48.039
5,4,6,Alonso,4,6.6,0.700,0,1:48.239
6,4,7,Ricciardo,4,7.9,1.300,0,1:48.239
7,4,8,Raikkonnen,4,8.6,0.600,0,1:48.101
8,4,9,Maldonado,4,9.9,1.200,0,1:48.609
9,4,10,Button,4,10.8,0.800,0,1:48.949
10,4,11,Perez,4,11.2,0.400,0,1:48.784
11,4,12,Webber,4,11.5,0.200,0,1:48.641
12,4,13,Di Resta,4,12.4,0.900,0,1:48.881
13,4,14,Gutierrez,4,13.3,0.800,0,1:49.161
14,4,15,Vergne,4,14.1,0.800,0,1:48.458
15,4,16,Van Der Garde,4,16.1,1.900,0,1:50.809
16,4,17,Bottas,4,16.4,0.300,0,1:50.269
17,4,18,Sutil,4,17.1,0.700,0,1:50.434
18,4,19,Pic,4,17.9,0.700,0,1:50.557
19,4,20,Massa,4,18.1,0.200,0,1:49.287
20,4,21,Bianchi,4,19.6,1.500,0,1:51.665
21,4,22,Chilton,4,20.7,1.000,0,1:51.542
0,5,1,Vettel,5, , ,0,1:46.685
1,5,2,Grosjean,5,2.8,2.800,0,1:46.867
2,5,3,Hamilton,5,3.3,0.700,0,1:46.924
3,5,4,Rosberg,5,5.2,1.800,0,1:47.549
4,5,5,Hulkenberg,5,6.6,1.400,0,1:47.663
5,5,6,Alonso,5,7.8,1.100,0,1:48.115
6,5,7,Ricciardo,5,9.1,1.200,0,1:48.080
7,5,8,Raikkonnen,5,9.3,0.200,0,1:47.665
8,5,9,Maldonado,5,11.3,2.000,0,1:48.388
9,5,10,Button,5,12.5,1.100,0,1:48.641
10,5,11,Webber,5,12.9,0.400,0,1:48.339
11,5,12,Perez,5,13.6,0.600,0,1:49.239
12,5,13,Di Resta,5,14.6,1.000,0,1:49.088
13,5,14,Gutierrez,5,15.3,0.700,0,1:48.982
14,5,15,Vergne,5,15.9,0.500,0,1:48.759
15,5,16,Bottas,5,18.1,2.100,0,1:48.572
16,5,17,Van Der Garde,5,21.1,2.900,0,1:51.874
17,5,18,Massa,5,21.3,0.200,0,1:50.124
18,5,19,Pic,5,22.3,0.900,0,1:51.294
19,5,20,Bianchi,5,23.4,1.100,0,1:50.705
20,5,21,Chilton,5,24.9,1.400,0,1:51.091
21,5,22,Sutil,OUT,25.4,0.500,1,
0,6,1,Vettel,6, , ,0,1:47.131
1,6,2,Grosjean,6,2.7,2.700,0,1:47.094
2,6,3,Hamilton,6,3.7,0.900,0,1:47.090
3,6,4,Rosberg,6,6.1,2.400,0,1:47.653
4,6,5,Hulkenberg,6,8.2,2.000,0,1:48.215
5,6,6,Alonso,6,9.3,1.100,0,1:48.241
6,6,7,Raikkonnen,6,10.3,0.900,0,1:47.676
7,6,8,Ricciardo,6,11.7,1.400,0,1:49.368
8,6,9,Maldonado,6,13.5,1.700,0,1:48.795
9,6,10,Webber,6,15.4,1.900,0,1:49.181
10,6,11,Perez,6,16.3,0.800,0,1:49.381
11,6,12,Di Resta,6,17.0,0.700,0,1:49.062
12,6,13,Gutierrez,6,18.0,1.000,0,1:49.346
13,6,14,Vergne,6,18.8,0.700,0,1:49.536
14,6,15,Button,OUT,19.6,0.800,1,
15,6,16,Bottas,6,21.4,1.800,0,1:50.033
16,6,17,Massa,6,22.6,1.200,0,1:47.996
17,6,18,Van Der Garde,6,25.5,2.900,0,1:51.182
18,6,19,Pic,6,26.6,1.000,0,1:50.980
19,6,20,Bianchi,6,27.6,1.000,0,1:50.874
20,6,21,Chilton,6,29.4,1.700,0,1:51.196
21,6,22,Sutil,6,53.2,23.800,1,2:14.506
0,7,1,Vettel,7, , ,0,1:46.848
1,7,2,Grosjean,7,2.9,2.900,0,1:46.983
2,7,3,Hamilton,7,4.0,1.200,0,1:47.401
3,7,4,Rosberg,7,7.3,3.300,0,1:48.266
4,7,5,Hulkenberg,7,9.4,2.100,0,1:48.353
5,7,6,Alonso,7,10.4,0.900,0,1:48.161
6,7,7,Raikkonnen,7,11.2,0.800,0,1:47.996
7,7,8,Ricciardo,7,13.5,2.300,0,1:48.884
8,7,9,Maldonado,7,15.3,1.800,0,1:49.014
9,7,10,Webber,7,15.9,0.500,0,1:47.603
10,7,11,Perez,7,18.2,2.300,0,1:49.114
11,7,12,Di Resta,7,19.0,0.700,0,1:49.170
12,7,13,Gutierrez,7,20.6,1.500,0,1:49.684
13,7,14,Vergne,7,21.4,0.800,0,1:49.726
14,7,15,Bottas,7,24.1,2.700,0,1:49.860
15,7,16,Massa,7,24.8,0.600,0,1:49.257
16,7,17,Van Der Garde,7,29.1,4.300,0,1:50.721
17,7,18,Pic,7,30.6,1.400,0,1:51.173
18,7,19,Bianchi,7,32.1,1.400,0,1:51.594
19,7,20,Chilton,7,33.9,1.800,0,1:51.681
20,7,21,Button,7,42.4,8.400,1,2:09.953
21,7,22,Sutil,7,53.4,10.900,1,1:47.266
0,8,1,Vettel,7, , ,0,1:46.848
1,8,2,Grosjean,7,2.9,2.900,0,1:46.983
2,8,3,Hamilton,8,4.4,1.500,0,1:47.258
3,8,4,Rosberg,8,8.5,4.100,0,1:48.066
4,8,5,Hulkenberg,8,10.7,2.200,0,1:48.212
5,8,6,Alonso,8,11.4,0.600,0,1:47.899
