,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:47.189
1,3,2,Rosberg,3,1.9,1.900,0,
2,3,3,Webber,3,2.6,0.700,0,
3,3,4,Grosjean,3,3.2,0.500,0,
4,3,5,Hamilton,3,4.2,0.900,0,
5,3,6,Hulkenberg,3,5.0,0.700,0,
6,3,7,Massa,3,5.9,0.800,0,
7,3,8,Alonso,3,6.4,0.500,0,
8,3,9,Perez,3,7.1,0.600,0,
9,3,10,Di Resta,3,7.7,0.500,0,
10,3,11,Maldonado,3,8.2,0.500,0,
11,3,12,Vergne,3,8.9,0.600,0,
12,3,13,Gutierrez,3,9.4,0.500,0,
13,3,14,Sutil,3,9.7,0.300,0,
14,3,15,Button,3,10.9,1.100,0,
15,3,16,Ricciardo,3,11.0,0.100,0,
16,3,17,Bottas,3,11.5,0.400,0,
17,3,18,Pic,3,11.9,0.300,0,
18,3,19,Van Der Garde,3,12.3,0.300,0,
19,3,20,Bianchi,3,13.4,1.100,0,
20,3,21,Chilton,3,13.7,0.300,0,
21,3,22,Raikkonnen,×,2L, ,0,
0,4,1,Vettel,4, , ,0,1:46.998
1,4,2,Rosberg,4,2.4,2.400,0,1:47.689
2,4,3,Webber,4,3.5,1.000,0,1:48.022
3,4,4,Grosjean,4,4.6,1.000,0,1:48.506
4,4,5,Hamilton,4,5.6,1.000,0,1:48.582
5,4,6,Hulkenberg,4,6.7,1.000,0,1:48.866
6,4,7,Massa,4,7.7,1.000,0,1:49.006
7,4,8,Alonso,4,8.3,0.500,0,1:49.096
8,4,9,Perez,4,9.4,1.000,0,1:49.443
9,4,10,Di Resta,4,10.2,0.800,0,1:49.742
10,4,11,Maldonado,4,10.9,0.700,0,1:49.953
11,4,12,Vergne,4,11.7,0.700,0,1:50.041
12,4,13,Gutierrez,4,13.1,1.400,0,1:50.885
13,4,14,Sutil,4,13.6,0.400,0,1:51.038
14,4,15,Ricciardo,4,16.2,2.600,0,1:52.381
15,4,16,Pic,4,17.4,1.100,0,1:52.680
16,4,17,Van Der Garde,4,18.0,0.600,0,1:52.945
17,4,18,Bottas,4,18.6,0.500,0,1:54.259
18,4,19,Button,OUT,19.1,0.500,1,
