,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:32.624
1,3,2,Webber,3,1.6,1.600,0,1:33.040
2,3,3,Button,3,2.9,1.600,0,
3,3,4,Alonso,3,3.5,0.600,0,
4,3,5,Hamilton,3,4.3,0.700,0,
5,3,6,Massa,3,4.8,0.500,0,
6,3,7,Raikkonen,3,5.5,0.600,0,
7,3,8,Perez,3,6.1,0.600,0,
8,3,9,Hulkenberg,3,6.8,0.700,0,
9,3,10,Rosberg,3,7.3,0.400,0,
10,3,11,Maldonado,3,7.7,0.300,0,
11,3,12,Grosjean,3,8.2,0.400,0,
12,3,13,Senna,3,9.0,0.800,0,
13,3,14,Di Resta,3,9.5,0.400,0,
14,3,15,Ricciardo,3,10.2,0.700,0,
15,3,16,Kobayashi,3,10.9,0.600,0,
16,3,17,de la Rosa,3,11.6,0.700,0,
17,3,18,Kovalainen,3,12.0,0.400,0,
18,3,19,Pic,3,12.6,0.600,0,
19,3,20,Petrov,3,13.0,0.300,0,
20,3,21,Glock,3,13.9,0.800,0,
21,3,22,Karthikeyan,3,14.1,0.200,0,
22,3,23,Vergne,OUT,23.1,8.900,1,
23,3,24,Schumacher,OUT,57.7,34.600,1,
0,4,1,Vettel,4, , ,0,1:32.577
1,4,2,Webber,4,2.1,2.100,0,1:33.029
2,4,3,Button,4,4.1,2.500,0,1:33.122
3,4,4,Alonso,4,5.4,0.700,0,1:33.004
4,4,5,Hamilton,4,5.9,0.800,0,1:34.152
5,4,6,Massa,4,6.5,0.600,0,1:34.279
6,4,7,Raikkonen,4,7.3,0.800,0,1:34.466
7,4,8,Perez,4,8.4,1.000,0,1:34.927
8,4,9,Hulkenberg,4,9.1,0.700,0,1:34.908
9,4,10,Rosberg,4,10.2,1.000,0,1:35.528
10,4,11,Maldonado,4,10.8,0.600,0,1:35.780
11,4,12,Grosjean,4,11.3,0.400,0,1:35.726
12,4,13,Senna,4,12.1,0.800,0,1:35.702
13,4,14,Di Resta,4,12.8,0.700,0,1:35.997
14,4,15,Ricciardo,4,14.0,1.200,0,1:36.480
15,4,16,Kobayashi,4,14.6,0.500,0,1:36.326
16,4,17,Kovalainen,4,15.7,1.100,0,1:36.313
17,4,18,de la Rosa,4,17.4,1.600,0,1:38.406
18,4,19,Pic,4,17.7,0.300,0,1:37.702
19,4,20,Petrov,4,18.1,0.300,0,1:37.714
20,4,21,Glock,4,18.8,0.600,0,1:37.508
21,4,22,Karthikeyan,4,19.4,0.600,0,1:37.920
22,4,23,Vergne,4,46.3,26.900,1,1:55.875
23,4,24,Schumacher,4,80.8,34.400,1,1:55.683
0,5,1,Vettel,5, , ,0,1:32.417
1,5,2,Webber,5,2.1,2.100,0,1:33.029
2,5,3,Button,5,4.7,2.500,0,1:33.122
3,5,4,Alonso,5,5.4,0.700,0,1:33.004
4,5,5,Hamilton,5,6.3,0.800,0,1:33.012
5,5,6,Massa,5,7.3,0.900,0,1:33.382
6,5,7,Raikkonen,5,8.2,0.900,0,1:33.473
7,5,8,Perez,5,9.7,1.400,0,1:33.870
8,5,9,Hulkenberg,5,10.8,1.100,0,1:34.214
9,5,10,Rosberg,5,12.4,1.600,0,1:34.783
10,5,11,Maldonado,5,13.4,0.900,0,1:35.131
11,5,12,Grosjean,5,14.1,0.600,0,1:35.409
12,5,13,Senna,5,15.0,0.900,0,1:35.530
13,5,14,Di Resta,5,15.8,0.700,0,1:35.522
14,5,15,Ricciardo,5,17.0,1.200,0,1:35.536
15,5,16,Kobayashi,5,17.8,0.700,0,1:35.802
16,5,17,Kovalainen,5,18.7,0.900,0,1:35.599
17,5,18,Pic,5,21.2,2.500,0,1:36.083
18,5,19,de la Rosa,5,22.6,1.400,0,1:37.834
19,5,20,Petrov,5,23.0,0.300,0,1:37.445
20,5,21,Glock,5,23.6,0.600,0,1:37.415
21,5,22,Karthikeyan,5,24.1,0.500,0,1:37.301
22,5,23,Vergne,5,47.9,23.700,1,1:34.173
23,5,24,Schumacher,5,82.6,34.700,1,1:34.424
0,6,1,Vettel,6, , ,0,1:32.265
1,6,2,Webber,6,2.4,2.400,0,1:32.476
2,6,3,Alonso,6,6.0,3.800,0,1:33.062
3,6,4,Button,6,6.9,0.800,0,1:34.627
4,6,5,Hamilton,6,7.6,0.700,0,1:33.744
5,6,6,Massa,6,8.4,0.700,0,1:33.506
6,6,7,Raikkonen,6,9.3,0.900,0,1:33.511
7,6,8,Perez,6,11.1,1.800,0,1:33.896
8,6,9,Hulkenberg,6,12.1,0.900,0,1:33.731
9,6,10,Rosberg,6,14.5,2.400,0,1:34.486
10,6,11,Maldonado,6,15.2,0.700,0,1:34.227
11,6,12,Grosjean,6,15.7,0.500,0,1:34.032
12,6,13,Senna,6,16.7,0.900,0,1:34.063
13,6,14,Di Resta,6,17.8,1.100,0,1:34.476
14,6,15,Ricciardo,6,19.5,1.600,0,1:34.875
15,6,16,Kobayashi,6,20.2,0.700,0,1:34.863
16,6,17,Kovalainen,6,21.4,1.100,0,1:35.069
17,6,18,Pic,6,24.1,2.700,0,1:35.264
18,6,19,Petrov,6,25.9,1.800,0,1:35.391
19,6,20,de la Rosa,6,27.3,1.300,0,1:37.108
20,6,21,Glock,6,27.9,0.600,0,1:36.744
21,6,22,Karthikeyan,6,28.8,0.800,0,1:37.112
22,6,23,Vergne,6,49.4,20.500,1,1:33.866
23,6,24,Schumacher,6,84.9,35.500,1,1:34.665
0,7,1,Vettel,7, , ,0,1:32.481
1,7,2,Webber,7,2.4,2.400,0,1:32.476
2,7,3,Alonso,7,6.3,3.800,0,1:32.550
3,7,4,Button,7,7.7,1.300,0,1:33.041
4,7,5,Hamilton,7,8.3,0.600,0,1:32.909
5,7,6,Massa,7,9.2,0.900,0,1:33.064
6,7,7,Raikkonen,7,10.1,0.900,0,1:33.071
7,7,8,Perez,7,12.5,2.400,0,1:33.642
8,7,9,Hulkenberg,7,13.7,1.200,0,1:33.927
9,7,10,Rosberg,7,16.0,2.300,0,1:33.830
10,7,11,Maldonado,7,16.8,0.700,0,1:33.856
11,7,12,Grosjean,7,17.4,0.500,0,1:33.922
12,7,13,Senna,7,18.3,0.900,0,1:33.862
13,7,14,Di Resta,7,19.9,1.600,0,1:34.377
14,7,15,Ricciardo,7,21.6,1.700,0,1:34.455
15,7,16,Kobayashi,7,22.8,1.100,0,1:34.863
16,7,17,Kovalainen,7,24.2,1.300,0,1:35.063
17,7,18,Pic,7,26.7,2.500,0,1:34.930
18,7,19,Petrov,7,28.7,1.900,0,1:35.052
19,7,20,de la Rosa,7,31.1,2.300,0,1:36.036
