,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:18.402
1,3,2,Rosberg,3,0.0,0.000,0,
2,3,3,Alonso,3,0.9,0.800,0,
3,3,4,Hamilton,3,1.0,0.000,0,
4,3,5,Webber,3,1.4,0.400,0,
5,3,6,Massa,3,2.2,0.700,0,
6,3,7,Hulkenberg,3,2.9,0.700,0,
7,3,8,Grosjean,3,3.0,0.000,0,
8,3,9,Ricciardo,3,3.5,0.500,0,
9,3,10,Bottas,3,4.1,0.600,0,
10,3,11,Button,3,4.5,0.400,0,
11,3,12,Vergne,3,5.4,0.800,0,
12,3,13,Gutierrez,3,5.6,0.200,0,
13,3,14,Sutil,3,5.9,0.200,0,
14,3,15,Kovalainen,3,6.6,0.600,0,
15,3,16,Perez,3,6.8,0.200,0,
16,3,17,Di Resta,3,6.9,0.000,0,
17,3,18,Maldonado,3,7.0,0.100,0,
18,3,19,Bianchi,3,8.2,1.200,0,
19,3,20,Pic,3,8.6,0.300,0,
20,3,21,Van Der Garde,3,8.6,0.000,0,
21,3,22,Chilton,3,9.3,0.700,0,
0,4,1,Vettel,4, , ,0,1:18.214
1,4,2,Rosberg,4,1.4,1.400,0,1:19.788
2,4,3,Alonso,4,1.8,0.400,0,1:19.290
3,4,4,Webber,4,2.8,1.000,0,1:19.761
4,4,5,Hamilton,4,3.3,0.400,0,1:20.712
5,4,6,Massa,4,3.6,0.300,0,1:19.793
6,4,7,Hulkenberg,4,4.4,0.800,0,1:19.928
7,4,8,Grosjean,4,5.5,1.000,0,1:20.898
8,4,9,Ricciardo,4,5.6,0.100,0,1:20.568
9,4,10,Button,4,6.7,1.000,0,1:20.576
10,4,11,Bottas,4,6.7,0.000,0,1:21.008
11,4,12,Gutierrez,4,7.7,0.900,0,1:20.507
12,4,13,Sutil,4,8.5,0.800,0,1:21.049
13,4,14,Vergne,4,9.1,0.500,0,1:22.137
14,4,15,Perez,4,9.9,0.700,0,1:21.476
15,4,16,Maldonado,4,10.4,0.500,0,1:21.764
16,4,17,Di Resta,4,10.6,0.200,0,1:22.161
17,4,18,Kovalainen,4,11.7,1.000,0,1:23.479
18,4,19,Bianchi,4,12.7,1.000,0,1:22.872
19,4,20,Van Der Garde,4,13.0,0.300,0,1:22.869
20,4,21,Pic,4,13.6,0.500,0,1:23.420
21,4,22,Chilton,4,14.2,0.600,0,1:23.245
0,5,1,Vettel,5, , ,0,1:18.283
1,5,2,Rosberg,5,2.6,2.600,0,1:19.486
2,5,3,Alonso,5,2.9,0.200,0,1:19.315
3,5,4,Webber,5,3.4,0.500,0,1:18.852
4,5,5,Hamilton,5,4.3,0.800,0,1:19.247
5,5,6,Massa,5,5.1,0.700,0,1:19.723
6,5,7,Hulkenberg,5,5.9,0.800,0,1:19.705
7,5,8,Ricciardo,5,7.3,1.300,0,1:19.882
8,5,9,Button,5,8.7,1.300,0,1:20.161
9,5,10,Bottas,5,9.0,0.300,0,1:20.524
10,5,11,Gutierrez,5,9.4,0.300,0,1:19.913
11,5,12,Sutil,5,10.3,0.900,0,1:20.015
12,5,13,Vergne,5,11.8,1.400,0,1:20.904
13,5,14,Perez,5,12.5,0.600,0,1:20.798
14,5,15,Maldonado,5,13.2,0.700,0,1:20.979
15,5,16,Di Resta,5,14.9,1.700,0,1:22.449
16,5,17,Kovalainen,5,17.4,2.500,0,1:23.983
17,5,18,Bianchi,5,17.9,0.400,0,1:23.356
18,5,19,Van Der Garde,5,18.8,0.900,0,1:23.974
19,5,20,Pic,5,20.5,1.600,0,1:25.094
20,5,21,Chilton,5,25.4,4.900,0,1:29.424
21,5,22,Grosjean,×,1L, ,0,
0,6,1,Vettel,5, , ,0,1:18.283
1,6,2,Rosberg,5,2.6,2.600,0,1:19.486
2,6,3,Alonso,5,2.9,0.200,0,1:19.315
3,6,4,Webber,5,3.4,0.500,0,1:18.852
4,6,5,Hamilton,5,4.3,0.800,0,1:19.247
5,6,6,Massa,5,5.1,0.700,0,1:19.723
6,6,7,Hulkenberg,5,5.9,0.800,0,1:19.705
7,6,8,Ricciardo,5,7.3,1.300,0,1:19.882
8,6,9,Button,5,8.7,1.300,0,1:20.161
9,6,10,Bottas,5,9.0,0.300,0,1:20.524
10,6,11,Gutierrez,5,9.4,0.300,0,1:19.913
11,6,12,Sutil,5,10.3,0.900,0,1:20.015
12,6,13,Vergne,5,11.8,1.400,0,1:20.904
13,6,14,Perez,5,12.5,0.600,0,1:20.798
14,6,15,Maldonado,5,13.2,0.700,0,1:20.979
15,6,16,Di Resta,5,14.9,1.700,0,1:22.449
16,6,17,Kovalainen,5,17.4,2.500,0,1:19.920
17,6,18,Bianchi,6,20.7,1.600,0,1:21.141
18,6,19,Van Der Garde,6,21.0,0.300,0,1:20.511
19,6,20,Pic,6,22.7,1.700,0,1:20.552
20,6,21,Chilton,6,28.9,6.100,0,1:21.810
21,6,22,Grosjean,×,2L, ,0,
