,snap_num,pos,nick,lap,gap,int,pits,t
2,8,3,Button,8,2.0,0.000,0,1:44.768
3,8,4,Massa,PIT,0.0,0.000,1,
4,8,5,Alonso,OUT,2.0,2.000,1,
5,8,6,Grosjean,8,3.6,0.800,0,1:48.185
6,8,7,Raikkonnen,OUT,5.0,1.100,1,
7,8,8,Perez,8,5.1,0.100,0,1:45.026
8,8,9,Di Resta,8,6.4,1.200,0,1:45.397
9,8,10,Maldonado,8,11.2,4.800,0,1:46.572
10,8,11,Bottas,8,11.8,0.600,0,1:46.537
11,8,12,Vergne,8,12.3,0.400,0,1:46.126
12,8,13,Hamilton,8,19.2,6.900,1,2:00.395
13,8,14,Bianchi,OUT,19.5,0.300,1,
14,8,15,Chilton,8,21.3,1.700,0,1:49.632
15,8,16,Webber,8,21.5,0.200,1,1:44.933
16,8,17,Rosberg,8,24.5,2.900,1,2:00.971
17,8,18,Van Der Garde,OUT,25.2,0.700,1,
18,8,19,Ricciardo,8,26.5,1.300,1,1:44.130
19,8,20,Pic,8,34.9,8.300,1,2:01.440
20,8,21,Sutil,×,2L, ,1,
21,8,22,Gutierrez,×,3L, ,0,
0,9,1,Hulkenberg,9, , ,0,1:43.386
1,9,2,Vettel,9,1.0,1.000,0,1:43.686
2,9,3,Button,9,2.0,1.200,0,1:44.768
3,9,4,Massa,OUT,3.6,1.500,1,
4,9,5,Perez,9,4.6,1.000,0,1:46.161
5,9,6,Di Resta,9,5.3,0.600,0,1:45.552
6,9,7,Grosjean,OUT,8.3,2.900,1,
7,9,8,Vergne,9,12.7,4.400,0,1:47.098
8,9,9,Bottas,9,13.3,0.500,0,1:48.054
9,9,10,Alonso,9,14.1,0.800,1,1:58.755
10,9,11,Hamilton,9,15.2,1.100,1,1:42.612
11,9,12,Maldonado,OUT,16.9,1.700,1,
12,9,13,Raikkonnen,9,17.9,1.000,1,1:59.584
13,9,14,Webber,9,19.1,1.100,1,1:44.226
14,9,15,Rosberg,9,21.2,2.100,1,1:43.378
