,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:18.240
1,3,2,Webber,3,2.2,2.200,0,1:19.337
2,3,3,Button,3,3.0,0.700,0,1:19.071
3,3,4,Alonso,3,3.5,0.500,0,1:18.988
4,3,5,Hamilton,3,4.7,1.200,0,1:19.350
5,3,6,Massa,3,5.5,0.800,0,1:19.668
6,3,7,Rosberg,3,4.9,0.800,0,
7,3,8,Sutil,3,5.5,0.500,0,
8,3,9,Senna,3,6.1,0.600,0,
9,3,10,Di Resta,3,6.8,0.600,0,
10,3,11,Schumacher,3,6.9,0.100,0,
11,3,12,Petrov,3,7.7,0.700,0,
12,3,13,Buemi,3,8.2,0.400,0,
13,3,14,Kobayashi,3,8.5,0.200,0,
14,3,15,Kovalainen,3,9.0,0.400,0,
15,3,16,Perez,3,9.2,0.200,0,
16,3,17,Alguersuari,3,9.9,0.600,0,
17,3,18,Trulli,3,10.5,0.600,0,
18,3,19,Barrichello,3,10.5,0.000,0,
19,3,20,Maldonado,3,10.9,0.300,0,
20,3,21,D'Ambrosio,3,11.3,0.400,0,
21,3,22,Liuzzi,3,11.6,0.200,0,
22,3,23,Glock,3,12.0,0.400,0,
23,3,24,Ricciardo,3,12.4,0.300,0,
0,4,1,Vettel,4, , ,0,1:18.239
1,4,2,Webber,4,2.2,2.200,0,1:18.273
2,4,3,Button,4,3.0,0.700,0,1:19.071
3,4,4,Alonso,4,3.5,0.500,0,1:18.988
4,4,5,Hamilton,4,4.7,1.200,0,1:19.350
5,4,6,Massa,4,5.5,0.800,0,1:19.668
6,4,7,Rosberg,4,6.5,0.900,0,1:19.764
7,4,8,Sutil,4,7.2,0.700,0,1:19.958
8,4,9,Senna,4,8.3,1.000,0,1:20.374
9,4,10,Schumacher,4,9.2,0.900,0,1:20.492
10,4,11,Di Resta,4,9.4,0.200,0,1:20.930
11,4,12,Petrov,4,10.4,0.900,0,1:20.963
12,4,13,Kobayashi,4,11.5,1.000,0,1:21.282
13,4,14,Buemi,4,12.1,0.500,0,1:22.091
14,4,15,Perez,4,12.4,0.300,0,1:21.405
15,4,16,Kovalainen,4,13.3,0.800,0,1:22.552
